word,ahpa,disc
vet,vEt,vEt
brim,brIm,brIm
butcher,bUJ3,bUJ@R
char,Jar,J#R
embitter,ImbIt3,ImbIt@R
fork,fork,f$k
formalize,form@l2z,f$m@l2z
frequent,frIkwEnt,frIkwEnt
institute,Inst@tut,InstItjut
levy,lEvi,lEvI
sprint,sprInt,sprInt
stump,stVmp,stVmp
sweeten,swit@n,switH
usurp,jus3p,juz3p
vacate,veket,v@k1t
skate,sket,sk1t
steel,stil,stil
waft,waft,w#ft
bombard,bambard,bQmb#d
delegate,dElIget,dElIg1t
ambush,{mbUS,{mbUS
disseminate,dIsEmInet,dIsEmIn1t
enliven,Inl2v@n,Inl2vH
feather,fED3,fED@R
flail,flel,fl1l
gas,g{s,g{s
glorify,glorIf2,gl$rIf2
incriminate,InkrImInet,InkrImIn1t
maim,mem,m1m
plump,plVmp,plVmp
trick,trIk,trIk
wheeze,wiz,wiz
yank,j{Nk,j{Nk
evict,IvIkt,IvIkt
dissuade,dIswed,dIsw1d
butter,bVt3,bVt@R
sport,sport,sp$t
awe,Q,$
belittle,bIlIt@l,bIlItP
bill,bIl,bIl
budge,bV_,bV_
cringe,krIn_,krIn_
dwarf,dworf,dw$f
hawk,hQk,h$k
jingle,_INg@l,_INgP
jot,_at,_Qt
pen,pEn,pEn
repent,rIpEnt,rIpEnt
scrawl,skrQl,skr$l
shovel,SVv@l,SVvP
stub,stVb,stVb
teeter,tit3,tit@R
thud,TVd,TVd
typify,tIpIf2,tIpIf2
pet,pEt,pEt
ferry,feri,fErI
inter,Int3,Int3R
up,Vp,Vp
tinker,tINk3,tINk@R
grey,gre,gr1
ratify,r{tIf2,r{tIf2
stake,stek,st1k
blanch,bl{nJ,bl#nJ
boss,bQs,bQs
cajole,k@_ol,k@_5l
concoct,k@nkakt,k@nkQkt
constrict,k@nstrIkt,k@nstrIkt
coo,ku,ku
encrust,InkrVst,InkrVst
exhale,Ekshel,Eksh1l
frost,frQst,frQst
gesticulate,_EstIkjUlet,_EstIkjUl1t
heed,hid,hid
lease,lis,lis
powder,p6d3,p6d@R
reek,rik,rik
solicit,s@lIsIt,s@lIsIt
tarnish,tarnIS,t#nIS
vent,vEnt,vEnt
orientate,oriEntet,$rIEnt1t
shanghai,S{Nh2,S{Nh2
fence,fEns,fEns
burgeon,b3_@n,b3_@n
consecrate,kansIkret,kQnsIkr1t
equalize,ikw@l2z,ikw@l2z
prune,prun,prun
addict,@dIkt,@dIkt
clank,kl{Nk,kl{Nk
cobble,kab@l,kQbP
engineer,En_Inir,En_In7R
evidence,EvId@ns,EvId@ns
flaw,flQ,fl$
lug,lVg,lVg
mesmerize,mEzm@r2z,mEzm@r2z
nuzzle,nVz@l,nVzP
peek,pik,pik
poll,pol,p5l
rove,rov,r5v
spank,sp{Nk,sp{Nk
chequer,JEk3,JEk@R
honk,hQNk,hQNk
butt,bVt,bVt
darn,darn,d#n
loose,lus,lus
align,@l2n,@l2n
convene,k@nvin,k@nvin
dull,dVl,dVl
gouge,g6_,g6_
hoard,hord,h$d
revel,rEv@l,rEvP
sober,sob3,s5b@R
spurn,sp3n,sp3n
zip,zIp,zIp
dabble,d{b@l,d{bP
debase,dIbes,dIb1s
fathom,f{D@m,f{D@m
fault,fQlt,f$lt
annihilate,@n2@let,@n2@l1t
tack,t{k,t{k
toll,tol,t5l
blare,bler,bl8R
broach,broJ,br5J
congregate,kaNgr@get,kQNgrIg1t
cushion,kUS@n,kUSH
monopolize,m@nap@l2z,m@nQp@l2z
pee,pi,pi
pulse,pVls,pVls
redden,rEd@n,rEdH
snigger,snIg3,snIg@R
spice,sp2s,sp2s
weight,wet,w1t
muck,mVk,mVk
whittle,wIt@l,wItP
humanize,hjum@n2z,hjum@n2z
prophesy,prafIs2,prQfIs2
shunt,SVnt,SVnt
amble,{mb@l,{mbP
bate,bet,NA
cower,k63,k6@R
dawdle,dQd@l,d$dP
enamel,In{m@l,In{mP
fume,fjum,fjum
galvanize,g{lv@n2z,g{lv@n2z
hospitalize,hQspIt@l2z,hQspItP2z
intoxicate,IntaksIket,IntQksIk1t
knife,n2f,n2f
perturb,p3t3b,p@t3b
postulate,pasJ@let,pQstjUl1t
shackle,S{k@l,S{kP
shit,SIt,SIt
sizzle,sIz@l,sIzP
slot,slat,slQt
snake,snek,sn1k
thumb,TVm,TVm
tint,tInt,tInt
flog,flag,flQg
treble,trEb@l,trEbP
dissect,dIsEkt,dIsEkt
electrify,IlEktrIf2,IlEktrIf2
encroach,InkroJ,Inkr5J
bay,be,b1
dilate,d2let,d2l1t
jangle,_{Ng@l,_{NgP
rant,r{nt,r{nt
sour,s63,s6@R
cake,kek,k1k
caution,kQS@n,k$SH
clinch,klInJ,klInJ
conjecture,k@n_EkJ3,k@n_EkJ@R
cuff,kVf,kVf
debilitate,dIbIlItet,dIbIlIt1t
deprave,dIprev,dIpr1v
foam,fom,f5m
glimmer,glIm3,glIm@R
goad,god,g5d
inch,InJ,InJ
interject,Int3_Ekt,Int@_Ekt
kindle,kInd@l,kIndP
madden,m{d@n,m{dH
moisten,m4s@n,m4sH
oust,6st,6st
pave,pev,p1v
spew,spju,spju
splutter,splVt3,splVt@R
stomp,stamp,stQmp
taxi,t{ksi,t{ksI
veto,vito,vit5
abdicate,{bdIket,{bdIk1t
croak,krok,kr5k
journey,_3ni,_3nI
marshal,marS@l,m#SP
catalogue,k{t@lQg,k{t@lQg
hoe,ho,h5
nest,nEst,nEst
rave,rev,r1v
band,b{nd,b{nd
construe,k@nstru,k@nstru
forsake,forsek,f@s1k
pamper,p{mp3,p{mp@R
personalize,p3s@n@l2z,p3sH@l2z
prance,pr{ns,pr#ns
pressure,prES3,prES@R
shame,Sem,S1m
shutter,SVt3,SVt@R
suckle,sVk@l,sVkP
taint,tent,t1nt
tantalize,t{nt@l2z,NA
upholster,Vpholst3,Vph5lst@R
concur,k@nk3,k@nk3R
domineer,damInir,NA
lump,lVmp,lVmp
solidify,s@lIdIf2,s@lIdIf2
televise,tElIv2z,tElIv2z
abhor,@bhor,@bh$R
bluff,blVf,blVf
chafe,Jef,J1f
copulate,kapjUlet,kQpjUl1t
cramp,kr{mp,kr{mp
deflate,dIflet,dIfl1t
gorge,gor_,g$_
graft,gr{ft,gr#ft
instigate,InstIget,InstIg1t
juggle,_Vg@l,_VgP
legalize,lig@l2z,lig@l2z
neck,nEk,NA
pelt,pElt,pElt
perspire,p3sp23,p@sp2@R
plunder,plVnd3,plVnd@R
resurrect,rEz@rEkt,rEz@rEkt
retch,rEJ,rEJ
scandalize,sk{nd@l2z,sk{nd@l2z
sidle,s2d@l,s2dP
smirk,sm3k,sm3k
stutter,stVt3,stVt@R
surmise,s3m2z,s3m2z
twitter,twIt3,twIt@R
defect,dIfEkt,dIfEkt
befriend,bIfrEnd,bIfrEnd
falsify,fQls@f2,f$lsIf2
panel,p{n@l,p{nP
disparage,dIsperI_,dIsp{rI_
rout,r6t,r6t
whirr,w3,w3R
whiz,wIz,wIz
denigrate,dEnIgret,dEnIgr1t
pester,pEst3,pEst@R
sponge,spVn_,spVn_
subordinate,s@bordInet,s@b$dIn1t
blunt,blVnt,blVnt
crane,kren,kr1n
divulge,d2vVl_,d2vVl_
flour,fl63,fl6@R
fossilize,fQsIl2z,fQsIl2z
glean,glin,glin
launder,lQnd3,l$nd@R
leer,lir,l7R
loan,lon,l5n
masquerade,m{sk@red,m{sk@r1d
patter,p{t3,p{t@R
snuggle,snVg@l,snVgP
swathe,swQD,sw1D
throng,TrQN,TrQN
war,wor,w$R
wedge,wE_,wE_
twiddle,twId@l,twIdP
personify,p3sanIf2,p@sQnIf2
stipulate,stIpjUlet,stIpjUl1t
bond,band,bQnd
drone,dron,dr5n
diverge,d2v3_,d2v3_
ebb,Eb,Eb
chug,JVg,JVg
delete,dIlit,dIlit
eclipse,IklIps,IklIps
exempt,IgzEmpt,IgzEmpt
fester,fEst3,fEst@R
fluster,flVst3,flVst@R
hector,hEkt3,NA
intern,Int3n,Int3n
leaf,lif,lif
mouth,m6D,m6D
rectify,rEktIf2,rEktIf2
snuff,snVf,snVf
taunt,tQnt,t$nt
wrest,rEst,rEst
bumble,bVmb@l,NA
hark,hark,h#k
languish,l{NgwIS,l{NgwIS
banquet,b{NkwIt,NA
baste,best,b1st
categorize,k{t@g32z,k{t@g@r2z
compliment,kamplImEnt,kQmplImEnt
croon,krun,krun
curdle,k3d@l,k3dP
detonate,dEt@net,dEt@n1t
dismember,dIsmEmb3,dIsmEmb@R
extol,Ekstol,Ikst5l
flute,flut,flut
front,frVnt,frVnt
garnish,garnIS,g#nIS
hound,h6nd,h6nd
ignite,Ign2t,Ign2t
impregnate,ImprEgnet,ImprEgn1t
infest,InfEst,InfEst
jar,_ar,_#R
orbit,orbIt,$bIt
oscillate,asIlet,QsIl1t
quell,kwEl,kwEl
reverberate,riv3b3et,rIv3b@r1t
scuff,skVf,skVf
segment,sEgmEnt,sEgmEnt
slosh,slaS,slQS
slouch,sl6J,sl6J
subvert,sVbv3t,sVbv3t
pencil,pEns@l,pEnsP
straggle,str{g@l,str{gP
abbreviate,@briviet,@brivI1t
abort,@bort,@b$t
admonish,{dmanIS,@dmQnIS
bag,b{g,b{g
bleat,blit,blit
cage,ke_,k1_
couch,k6J,k6J
craze,krez,kr1z
economize,Ikan@m2z,IkQn@m2z
exorcize,Eksors2z,Eks$s2z
haggle,h{g@l,h{gP
hole,hol,h5l
mollify,malIf2,mQlIf2
nick,nIk,nIk
petition,p@tIS@n,p@tISH
plait,plet,pl{t
popularize,papjUl32z,pQpjUl@r2z
quake,kwek,kw1k
rejuvenate,rI_uv@net,rI_uv@n1t
rocket,rakIt,rQkIt
rupture,rVpJ3,rVpJ@R
spike,sp2k,sp2k
steep,stip,stip
swish,swIS,swIS
word,w3d,w3d
mime,m2m,m2m
perplex,p3plEks,p@plEks
zoom,zum,zum
balk,bQk,b$k
preen,prin,prin
reciprocate,rIsIpr@ket,rIsIpr@k1t
shy,S2,S2
acquiesce,{kwiEs,{kwIEs
amputate,{mpjUtet,{mpjUt1t
chide,J2d,J2d
crank,kr{Nk,kr{Nk
deaden,dEd@n,dEdH
dent,dEnt,dEnt
drool,drul,drul
extricate,Ekstr@ket,EkstrIk1t
idle,2d@l,2dP
josh,_aS,NA
latch,l{J,l{J
mangle,m{Ng@l,m{NgP
roost,rust,NA
rope,rop,r5p
slur,sl3,sl3R
smudge,smV_,smV_
theorize,Ti@r2z,T7r2z
whiten,w2t@n,w2tH
plonk,plaNk,plQNk
pare,per,p8R
adjourn,@_3n,@_3n
blanket,bl{NkIt,bl{NkIt
blight,bl2t,bl2t
deck,dEk,dEk
deviate,diviet,divI1t
don,dan,dQn
game,gem,NA
hem,hEm,hEm
pacify,p{sIf2,p{sIf2
paste,pest,p1st
ramble,r{mb@l,r{mbP
ravel,r{v@l,r{vP
reprimand,rEprIm{nd,rEprIm#nd
sear,sir,s7R
snip,snIp,snIp
squawk,skwQk,skw$k
throttle,Trat@l,TrQtP
trek,trEk,trEk
waddle,wad@l,wQdP
westernize,wEst3n2z,wEst@n2z
extradite,Ekstr@d2t,Ekstr@d2t
tutor,tut3,tjut@R
fend,fEnd,NA
fast,f{st,f#st
clump,klVmp,klVmp
beseech,bIsiJ,bIsiJ
capitulate,k@pIJUlet,k@pIJUl1t
certify,s3tIf2,s3tIf2
clink,klINk,klINk
coalesce,ko@lEs,k5@lEs
disillusion,dIsIluZ@n,dIsIluZH
fat,f{t,NA
grub,grVb,grVb
incapacitate,Ink@p{sItet,Ink@p{sIt1t
insinuate,InsInjuet,InsInjU1t
intimate,Int@met,IntIm1t
invigorate,InvIg@ret,InvIg@r1t
manure,m@nur,m@nj9R
mute,mjut,mjut
neuter,nut3,njut@R
pasteurize,p{sJ32z,p#sJ@r2z
shamble,S{mb@l,S{mbP
slumber,slVmb3,slVmb@R
splatter,spl{t3,spl{t@R
spout,sp6t,sp6t
subsist,s@bsIst,s@bsIst
swill,swIl,swIl
tousle,t6z@l,t6zP
vex,vEks,vEks
victimize,vIktIm2z,vIktIm2z
cube,kjub,kjub
modulate,ma_ulet,mQdjUl1t
lynch,lInJ,lInJ
encapsulate,Ink{psUlet,Ink{psjUl1t
annex,@nEks,@nEks
barge,bar_,b#_
bequeath,bIkwiT,bIkwiD
brave,brev,br1v
champion,J{mpi@n,J{mpj@n
chart,Jart,J#t
clobber,klab3,klQb@R
corn,korn,k$n
dissociate,dIsoSiet,dIs5SI1t
founder,f6nd3,f6nd@R
needle,nid@l,nidP
plop,plap,plQp
prejudice,prE_UdIs,prE_UdIs
radicalize,r{dIk@l2z,r{dIk@l2z
sap,s{p,s{p
silhouette,sIluEt,sIluEt
slave,slev,sl1v
stupefy,stupIf2,stjupIf2
triple,trIp@l,trIpP
troll,trol,tr5l
coerce,ko3s,k53s
moralize,mor@l2z,mQr@l2z
reminisce,rEmInIs,rEmInIs
tool,tul,tul
wheedle,wid@l,widP
agonize,{g@n2z,{g@n2z
brag,br{g,br{g
buttress,bVtrIs,bVtrIs
congeal,k@n_il,k@n_il
corrode,k@rod,k@r5d
countenance,k6nt@n@ns,k6nt@n@ns
destine,dEstIn,dEstIn
dish,dIS,dIS
dock,dak,dQk
inaugurate,InQgjUret,In$gjUr1t
lope,lop,l5p
massacre,m{s@k3,m{s@k@R
methylate,mET@let,mET@l1t
motorize,mot@r2z,m5t@r2z
naturalize,n{J3@l2z,n{Jr@l2z
pucker,pVk3,pVk@R
remand,rIm{nd,rIm#nd
renovate,rEnovet,rEn5v1t
rive,r2v,r2v
slink,slINk,slINk
smart,smart,sm#t
spurt,sp3t,sp3t
vanquish,v{NkwIS,v{NkwIS
whack,w{k,w{k
stagnate,st{gnet,st{gn1t
waggle,w{g@l,w{gP
bivouac,bIvw{k,bIvU{k
cackle,k{k@l,k{kP
cascade,k{sked,k{sk1d
circumcise,s3k@ms2z,s3k@ms2z
cow,k6,k6
dally,d{li,d{lI
demur,dIm3,dIm3R
forward,forw@d,f$w@d
gabble,g{b@l,g{bP
gird,g3d,g3d
harangue,h@r{N,h@r{N
heel,hil,hil
maraud,m@rQd,NA
nullify,nVlIf2,nVlIf2
pepper,pEp3,pEp@R
rend,rEnd,rEnd
scuffle,skVf@l,skVfP
snub,snVb,snVb
teem,tim,tim
vindicate,vIndIket,vIndIk1t
delve,dElv,dElv
intersect,Int3sEkt,Int@sEkt
individualize,IndIvI_u@l2z,IndIvI_9l2z
caricature,kerIk@J3,k{rIk@tj9R
epitomize,IpIt@m2z,IpIt@m2z
quadruple,kwadrUp@l,kwQdrUpP
retard,rItard,rIt#d
wing,wIN,wIN
breach,briJ,briJ
embellish,ImbElIS,ImbElIS
festoon,fEstun,fEstun
gloat,glot,gl5t
gum,gVm,gVm
jettison,_EtIs@n,_EtIsH
log,lQg,lQg
lop,lap,lQp
meander,mi{nd3,mI{nd@R
molest,m@lEst,m5lEst
occasion,@keZ@n,@k1ZH
people,pip@l,pipP
prime,pr2m,pr2m
puncture,pVNkJ3,pVNkJ@R
side,s2d,s2d
spear,spir,sp7R
veil,vel,v1l
wrangle,r{Ng@l,r{NgP
legitimize,lI_ItIm2z,lI_ItIm2z
cane,ken,k1n
belt,bElt,bElt
cloy,kl4,NA
innovate,Inovet,NA
pawn,pQn,p$n
quantify,kwantIf2,kwQntIf2
rev,rEv,rEv
skitter,skIt3,skIt@R
squabble,skwab@l,skwQbP
substantiate,s@bst{nSiet,s@bst{nSI1t
accent,{ksEnt,{ksEnt
bead,bid,bid
blister,blIst3,blIst@R
blitz,blIts,blIts
chance,J{ns,J#ns
curtain,k3t@n,k3tH
foil,f4l,f4l
inundate,InVndet,InVnd1t
ladle,led@l,l1dP
layer,le3,l1@R
lubricate,lubrIket,lubrIk1t
nose,noz,n5z
pain,pen,p1n
pander,p{nd3,p{nd@R
paw,pQ,p$
revoke,rIvok,rIv5k
rough,rVf,rVf
scald,skQld,sk$ld
siphon,s2f@n,s2fH
skulk,skVlk,skVlk
tote,tot,t5t
waltz,wQls,w$ls
worm,w3m,w3m
transcribe,tr{nskr2b,tr{nskr2b
dispirit,dIspirIt,dIspIrIt
guzzle,gVz@l,gVzP
menace,mEn@s,mEn@s
stultify,stVltIf2,stVltIf2
ventilate,vEntIlet,vEntIl1t
boo,bu,bu
buffet,bVfIt,bVfIt
censure,sEnS3,sEnS@R
club,klVb,klVb
convulse,k@nvVls,k@nvVls
course,kors,k$s
crinkle,krINk@l,krINkP
fatigue,f@tig,f@tig
flame,flem,fl1m
flay,fle,fl1
frisk,frIsk,frIsk
froth,frQT,frQT
heckle,hEk@l,hEkP
itemize,2t@m2z,2t@m2z
malign,m@l2n,m@l2n
maroon,m@run,m@run
martyr,mart3,m#t@R
menstruate,mEnstruet,NA
piece,pis,pis
potter,pat3,pQt@R
pre-empt,priEmpt,priEmpt
quarry,kwori,kwQrI
relent,rIlEnt,rIlEnt
rouge,ruZ,ruZ
seam,sim,sim
stigmatize,stIgm@t2z,stIgm@t2z
swoon,swun,swun
tee,ti,ti
varnish,varnIS,v#nIS
waive,wev,w1v
wolf,wUlf,wUlf
chap,J{p,J{p
peddle,pEd@l,pEdP
agitate,{_Itet,{_It1t
drawl,drQl,dr$l
internalize,Int3n@l2z,Int3n@l2z
air,er,8R
badger,b{_3,b{_@R
barter,bart3,b#t@R
beleaguer,bIlig3,bIlig@R
cavort,k@vort,NA
chasten,Jes@n,J1sH
cluck,klVk,klVk
coast,kost,k5st
collectivize,k@lEktIv2z,k@lEktIv2z
conscript,k@nskrIpt,k@nskrIpt
contravene,kantr@vin,kQntr@vin
delineate,dIlIniet,dIlInI1t
eddy,Edi,EdI
emaciate,ImeSiet,Im1SI1t
ensconce,Inskans,InskQns
freak,frik,frik
lever,lEv3,liv@R
lob,lab,lQb
paper,pep3,p1p@R
puree,pjUre,pj9r1
quench,kwEnJ,kwEnJ
quest,kwEst,kwEst
roof,ruf,ruf
scrounge,skr6n_,skr6n_
scud,skVd,skVd
seed,sid,sid
shush,SUS,SUS
snipe,sn2p,NA
spreadeagle,sprEdig@l,sprEdigP
vouchsafe,v6Jsef,v6Js1f
chomp,Jamp,NA
tunnel,tVn@l,tVnP
flout,fl6t,fl6t
gloss,glQs,glQs
pine,p2n,p2n
sod,sad,NA
spay,spe,sp1
curtsy,k3tsi,k3tsI
desist,dIzIst,dIzIst
ditch,dIJ,dIJ
doctor,dakt3,dQkt@R
doodle,dud@l,dudP
dredge,drE_,drE_
duel,du@l,NA
enumerate,Inum@ret,Injum@r1t
externalize,Ikst3n@l2z,Ikst3n@l2z
fabricate,f{brIket,f{brIk1t
further,f3D3,f3D@R
germinate,_3m@net,_3mIn1t
humble,hVmb@l,hVmbP
mesh,mES,mES
mull,mVl,mVl
pivot,pIv@t,pIv@t
pleat,plit,plit
regress,rIgrEs,rIgrEs
rifle,r2f@l,r2fP
shrill,SrIl,SrIl
snivel,snIv@l,NA
still,stIl,stIl
synchronize,sINkr@n2z,sINkr@n2z
toughen,tVf@n,tVfH
twang,tw{N,tw{N
weary,wiri,w7rI
wiggle,wIg@l,wIgP
wreak,rik,rik
cant,k{nt,k{nt
hare,her,h8R
sky,sk2,sk2
pressurize,prES@r2z,prES@r2z
scoot,skut,skut
accustom,@kVst@m,NA
subsume,s@bsum,s@bsjum
absent,{bsEnt,{bsEnt
bandy,b{ndi,b{ndI
beguile,bIg2l,bIg2l
bicker,bIk3,NA
boat,bot,NA
bode,bod,b5d
botch,baJ,bQJ
caper,kep3,k1p@R
clock,klak,klQk
co-opt,koapt,k5Qpt
commandeer,kam@ndir,kQm@nd7R
crochet,kroSe,kr5S1
crusade,krused,NA
deign,den,d1n
demote,dimot,dim5t
desecrate,dEsIkret,dEsIkr1t
enthral,InTrQl,InTr$l
envision,InvIZ@n,InvIZH
exonerate,Igzan@ret,IgzQn@r1t
prickle,prIk@l,prIkP
reconnoitre,rEk@n4t3,rEk@n4t@R
recoup,rIkup,rIkup
rim,rIm,rIm
scheme,skim,skim
school,skul,skul
splay,sple,spl1
squelch,skwElJ,skwElJ
stash,st{S,st{S
till,tIl,tIl
toddle,tad@l,tQdP
tone,ton,t5n
torpedo,torpido,t$pid5
vest,vEst,vEst
whinny,wIni,wInI
smelt,smElt,smElt
ape,ep,1p
chronicle,kranIk@l,krQnIkP
slog,slag,slQg
acclimatize,@kl2m@t2z,@kl2m@t2z
blubber,blVb3,NA
canter,k{nt3,k{nt@R
chalk,JQk,J$k
clown,kl6n,NA
decapitate,dIk{pItet,dIk{pIt1t
decimate,dEsImet,dEsIm1t
exalt,IgzQlt,Igz$lt
garble,garb@l,g#bP
hazard,h{z3d,h{z@d
hunger,hVNg3,hVNg@R
mortify,mortIf2,m$tIf2
ostracize,Qstr@s2z,Qstr@s2z
quash,kwaS,kwQS
ravish,r{vIS,r{vIS
sojourn,so_3n,NA
solder,sad3,sQld@R
sprain,spren,spr1n
sublimate,sVblImet,sVblIm1t
sup,sVp,sVp
right,r2t,r2t
bitch,bIJ,NA
malt,mQlt,m$lt
nap,n{p,n{p
attenuate,@tEnjuet,@tEnjU1t
bridle,br2d@l,br2dP
bungle,bVNg@l,bVNgP
burnish,b3nIS,b3nIS
bus,bVs,bVs
dissent,dIsEnt,dIsEnt
dizzy,dIzi,NA
embalm,Imbam,Imb#m
extrude,Ikstrud,Ikstrud
finalize,f2n@l2z,f2n@l2z
fleck,flEk,flEk
freshen,frES@n,frESH
grovel,grav@l,grQvP
idolize,2d@l2z,2d@l2z
irk,3k,3k
jiggle,_Ig@l,_IgP
mug,mVg,mVg
pall,pQl,p$l
palpitate,p{lpItet,p{lpIt1t
patent,p{t@nt,p1t@nt
peak,pik,pik
percolate,p3k@let,p3k@l1t
pulverize,pVlv@r2z,pVlv@r2z
refrigerate,rIfrI_@ret,rIfrI_@r1t
resonate,rEz@net,rEz@n1t
ricochet,rIk@Se,rIk@S1
romp,ramp,rQmp
scribe,skr2b,skr2b
sculpt,skVlpt,skVlpt
shoo,Su,Su
shore,Sor,S$R
silver,sIlv3,sIlv@R
spangle,sp{Ng@l,sp{NgP
swagger,sw{g3,sw{g@R
swig,swIg,swIg
titter,tIt3,tIt@R
truss,trVs,trVs
whet,wEt,wEt
wrong,rQN,rQN
yelp,jElp,jElp
booze,buz,NA
spar,spar,NA
anaesthetize,@nEsT@t2z,{nisT@t2z
bronze,branz,brQnz
chorus,kor@s,k$r@s
cloister,kl4st3,kl4st@R
consummate,kans@met,kQns@m1t
dimple,dImp@l,dImpP
disable,dIseb@l,dIs1bP
drowse,dr6z,dr6z
embolden,Imbold@n,Imb5ld@n
fawn,fQn,f$n
fixate,fIkset,fIks1t
homogenize,hama_@n2z,hQmQ_@n2z
imbibe,Imb2b,Imb2b
jig,_Ig,_Ig
lacquer,l{k3,l{k@R
lather,laD3,l#D@R
nonplus,nanplVs,nQnplVs
officiate,@fISiet,@fISI1t
ornament,orn@mEnt,$n@mEnt
orphan,orf@n,$fH
parry,peri,p{rI
partition,partIS@n,p#tISH
picnic,pIknIk,pIknIk
plane,plen,pl1n
purloin,p3l4n,p3l4n
rasp,r{sp,r#sp
rescind,rIsInd,rIsInd
riffle,rIf@l,rIfP
rut,rVt,rVt
sanctify,s{NktIf2,s{NktIf2
sculpture,skVlpJ3,skVlpJ@R
shoe,Su,Su
stencil,stEns@l,stEnsP
tar,tar,t#R
tweak,twik,twik
urbanize,3b@n2z,3b@n2z
vacuum,v{kjum,v{kj9m
wreathe,riD,riD
out,6t,NA
codify,kadIf2,k5dIf2
dam,d{m,d{m
harmonize,harm@n2z,h#m@n2z
partner,partn3,p#tn@R
politicize,p@lItIs2z,p@lItIs2z
shuttle,SVt@l,SVtP
abduct,@bdVkt,@bdVkt
captain,k{ptIn,k{ptIn
cocoon,k@kun,k@kun
dignify,dIgnIf2,dIgnIf2
dope,dop,d5p
enthuse,InTuz,InTjuz
evince,IvIns,IvIns
excrete,Ikskrit,Ikskrit
frolic,fralIk,frQlIk
funnel,fVn@l,fVnP
goggle,gag@l,gQgP
gore,gor,g$R
grace,gres,gr1s
guffaw,gVfQ,gVf$
inculcate,InkVlket,InkVlk1t
pale,pel,p1l
pulp,pVlp,pVlp
recuperate,rIkup@ret,NA
rein,ren,r1n
reprieve,rIpriv,rIpriv
revile,rIv2l,rIv2l
rhyme,r2m,NA
skimp,skImp,skImp
slew,slu,slu
snare,sner,sn8R
soldier,sol_3,s5l_@R
subjugate,sVb_@get,sVb_Ug1t
sun,sVn,sVn
tenant,tEn@nt,tEn@nt
toot,tut,tut
blood,blVd,blVd
indoctrinate,IndaktrInet,IndQktrIn1t
reimburse,riImb3s,riImb3s
liaise,liez,NA
balloon,b@lun,b@lun
brook,brUk,brUk
scout,sk6t,NA
atrophy,{tr@fi,{tr@fI
audition,QdIS@n,$dISH
careen,k@rin,k@rin
chirp,J3p,J3p
chisel,JIz@l,JIzP
coddle,kad@l,kQdP
crimp,krImp,krImp
dapple,d{p@l,d{pP
defecate,dEf@ket,dEf@k1t
disembowel,dIsImb6@l,dIsImb6@l
ennoble,Inob@l,In5bP
enunciate,InVnsiet,InVnsI1t
familiarize,f@mIlj@r2z,f@mIlj@r2z
fluff,flVf,flVf
gnash,n{S,NA
groove,gruv,gruv
hallucinate,h@lusInet,h@lusIn1t
hew,hju,NA
lance,l{ns,l#ns
mew,mju,mju
mooch,muJ,muJ
moot,mut,mut
obviate,abviet,QbvI1t
parody,per@di,p{r@dI
peal,pil,pil
quibble,kwIb@l,NA
quiet,kw2@t,kw2@t
rankle,r{Nk@l,r{NkP
ridge,rI_,rI_
romanticize,rom{ntIs2z,r5m{ntIs2z
shirk,S3k,S3k
sieve,sIv,sIv
singe,sIn_,sIn_
slobber,slab3,slQb@R
soap,sop,s5p
sputter,spVt3,spVt@R
stampede,st{mpid,st{mpid
tally,t{li,t{lI
titillate,tItIlet,tItIl1t
traffic,tr{fIk,tr{fIk
transgress,tr{nsgrEs,tr{nsgrEs
hibernate,h2b3net,NA
extrapolate,Ikstr{p@let,Ikstr{p5l1t
fudge,fV_,NA
barricade,berIked,b{rIk1d
bracket,br{kIt,br{kIt
bray,bre,NA
bud,bVd,bVd
burgle,b3g@l,b3gP
collate,k@let,k@l1t
cop,kap,kQp
cord,kord,k$d
denude,dInud,dInjud
digress,d2grEs,d2grEs
disdain,dIsden,dIsd1n
dissemble,dIsEmb@l,dIsEmbP
doff,daf,dQf
expropriate,Ekspropriet,Ekspr5prI1t
exult,IgzVlt,IgzVlt
father,faD3,f#D@R
fizz,fIz,fIz
flunk,flVNk,flVNk
fur,f3,f3R
garner,garn3,g#n@R
hijack,h2_{k,h2_{k
imperil,Imper@l,ImpEr@l
inoculate,InakjUlet,InQkjUl1t
muddy,mVdi,mVdI
pilot,p2l@t,p2l@t
posture,pasJ3,NA
presage,prEsI_,prEsI_
room,rum,rum
sheathe,SiD,SiD
swat,swat,swQt
twine,tw2n,tw2n
vend,vEnd,NA
winnow,wIno,wIn5
zap,z{p,z{p
zigzag,zIgz{g,zIgz{g
ossify,QsIf2,QsIf2
coal,kol,NA
boggle,bag@l,bQgP
audit,QdIt,$dIt
captivate,k{ptIvet,k{ptIv1t
deprecate,dEprIket,NA
key,ki,ki
satirize,s{t32z,s{t@r2z
assent,@sEnt,@sEnt
authenticate,QTEntIket,$TEntIk1t
beach,biJ,biJ
bisect,b2sEkt,b2sEkt
bluster,blVst3,blVst@R
box,baks,bQks
bum,bVm,NA
career,k@rir,k@r7R
cede,sid,sid
cloak,klok,kl5k
coarsen,kors@n,k$sH
democratize,dImakr@t2z,NA
desiccate,dEsIket,dEsIk1t
dice,d2s,d2s
dose,dos,d5s
excise,Eks2z,Eks2z
fart,fart,f#t
fetter,fEt3,fEt@R
gravel,gr{v@l,gr{vP
